,Unnamed: 0,Name,Price,Team 1,Position,Round,Team 2,Score,id,pl_pos_id,is_selected
1,1,Neville Jetta,285000,Demons,DE,1,Dockers,24.363636363636363,R:1_P:Neville Jetta,R:1_P:Neville Jetta_DE,1
398,398,James Frawley,305000,Hawks,DE,1,Bombers,40.81818181818182,R:1_P:James Frawley,R:1_P:James Frawley_DE,1
384,384,Ben McEvoy,477000,Hawks,DE,1,Bombers,54.18181818181818,R:1_P:Ben McEvoy,R:1_P:Ben McEvoy_DE,1
620,620,Sam Taylor,276000,Giants,DE,1,Saints,23.666666666666668,R:1_P:Sam Taylor,R:1_P:Sam Taylor_DE,1
320,320,Jarrod Harbrow,428000,Suns,DE,1,Eagles,62.0,R:1_P:Jarrod Harbrow,R:1_P:Jarrod Harbrow_DE,1
332,332,Connor Budarick,357000,Suns,DE,1,Eagles,63.0,R:1_P:Connor Budarick,R:1_P:Connor Budarick_DE,1
53,53,Bryce Gibbs,487000,Crows,DE,1,Cats,58.72727272727273,R:1_P:Bryce Gibbs,R:1_P:Bryce Gibbs_DE,1
169,169,Dylan Roberton,170000,Saints,DE,1,Giants,36.36363636363637,R:1_P:Dylan Roberton,R:1_P:Dylan Roberton_DE,1
240,240,Joshua Kennedy,431000,Eagles,FO,1,Suns,74.0909090909091,R:1_P:Joshua Kennedy,R:1_P:Joshua Kennedy_FO,1
515,515,Eddie Betts,424000,Blues,FO,1,Tigers,66.83333333333333,R:1_P:Eddie Betts,R:1_P:Eddie Betts_FO,1
484,484,Minairo Frederick,292000,Dockers,FO,1,Demons,31.0,R:1_P:Minairo Frederick,R:1_P:Minairo Frederick_FO,1
438,438,Jonathon Patton,191000,Hawks,FO,1,Bombers,42.0,R:1_P:Jonathon Patton,R:1_P:Jonathon Patton_FO,1
418,418,Shaun Burgoyne,435000,Hawks,FO,1,Bombers,71.0909090909091,R:1_P:Shaun Burgoyne,R:1_P:Shaun Burgoyne_FO,1
334,334,Jack Riewoldt,469000,Tigers,FO,1,Blues,67.41666666666667,R:1_P:Jack Riewoldt,R:1_P:Jack Riewoldt_FO,1
75,75,Taylor Walker,366000,Crows,FO,1,Cats,46.0,R:1_P:Taylor Walker,R:1_P:Taylor Walker_FO,1
299,299,Steven Motlop,412000,Power,FO,1,Kangaroos,73.36363636363636,R:1_P:Steven Motlop,R:1_P:Steven Motlop_FO,1
252,252,Mark Hutchings,308000,Eagles,FO,1,Suns,14.444444444444445,R:1_P:Mark Hutchings,R:1_P:Mark Hutchings_FO,1
302,302,Sam Powell-Pepper,558000,Power,MI,1,Kangaroos,80.25,R:1_P:Sam Powell-Pepper,R:1_P:Sam Powell-Pepper_MI,1
359,359,Trent Cotchin,634000,Tigers,MI,1,Blues,82.33333333333333,R:1_P:Trent Cotchin,R:1_P:Trent Cotchin_MI,1
276,276,Jack Redden,554000,Eagles,MI,1,Suns,82.45454545454545,R:1_P:Jack Redden,R:1_P:Jack Redden_MI,1
275,275,Luke Shuey,657000,Eagles,MI,1,Suns,102.1818181818182,R:1_P:Luke Shuey,R:1_P:Luke Shuey_MI,1
457,457,Tom Scully,443000,Hawks,MI,1,Bombers,57.81818181818182,R:1_P:Tom Scully,R:1_P:Tom Scully_MI,1
274,274,Tim Kelly,730000,Eagles,MI,1,Suns,107.66666666666669,R:1_P:Tim Kelly,R:1_P:Tim Kelly_MI,1
537,537,Lochie O'Brien,304000,Blues,MI,1,Tigers,0.0,R:1_P:Lochie O'Brien,R:1_P:Lochie O'Brien_MI,1
559,559,Paddy Dow,323000,Blues,MI,1,Tigers,37.75,R:1_P:Paddy Dow,R:1_P:Paddy Dow_MI,1
587,587,Dyson Heppell,566000,Bombers,MI,1,Hawks,80.55555555555556,R:1_P:Dyson Heppell,R:1_P:Dyson Heppell_MI,1
642,642,Callan Ward,461000,Giants,MI,1,Saints,74.81818181818181,R:1_P:Callan Ward,R:1_P:Callan Ward_MI,1
218,218,Tom Hickey,418000,Eagles,RU,1,Suns,39.9,R:1_P:Tom Hickey,R:1_P:Tom Hickey_RU,1
607,607,Shane Mumford,466000,Giants,RU,1,Saints,66.4,R:1_P:Shane Mumford,R:1_P:Shane Mumford_RU,1
117,117,Todd Goldstein,760000,Kangaroos,RU,1,Power,96.54545454545456,R:1_P:Todd Goldstein,R:1_P:Todd Goldstein_RU,1
